Tanggal;Prov;Provinsi;Running Sum of divaksin2 (ribu);divaksin2 (ribu)
10/04/2021 00.00.00;Yogyakarta;Yogyakarta;153,654;5,432
11/04/2021 00.00.00;Yogyakarta;Yogyakarta;153,78;0,126
12/04/2021 00.00.00;Yogyakarta;Yogyakarta;157,584;3,804
13/04/2021 00.00.00;Yogyakarta;Yogyakarta;160,652;3,068
14/04/2021 00.00.00;Yogyakarta;Yogyakarta;163,797;3,145
15/04/2021 00.00.00;Yogyakarta;Yogyakarta;167,199;3,402
16/04/2021 00.00.00;Yogyakarta;Yogyakarta;169,491;2,292
17/04/2021 00.00.00;Yogyakarta;Yogyakarta;171,736;2,245
18/04/2021 00.00.00;Yogyakarta;Yogyakarta;172,964;1,228
19/04/2021 00.00.00;Yogyakarta;Yogyakarta;176,36;3,396
20/04/2021 00.00.00;Yogyakarta;Yogyakarta;179,026;2,666
21/04/2021 00.00.00;Yogyakarta;Yogyakarta;181,983;2,957
22/04/2021 00.00.00;Yogyakarta;Yogyakarta;185,978;3,995
23/04/2021 00.00.00;Yogyakarta;Yogyakarta;188,327;2,349
24/04/2021 00.00.00;Yogyakarta;Yogyakarta;194,857;6,53
25/04/2021 00.00.00;Yogyakarta;Yogyakarta;196,764;1,907
26/04/2021 00.00.00;Yogyakarta;Yogyakarta;203,206;6,442
27/04/2021 00.00.00;Yogyakarta;Yogyakarta;209,484;6,278
28/04/2021 00.00.00;Yogyakarta;Yogyakarta;215,044;5,56
29/04/2021 00.00.00;Yogyakarta;Yogyakarta;220,862;5,818
30/04/2021 00.00.00;Yogyakarta;Yogyakarta;221,236;0,374
01/05/2021 00.00.00;Yogyakarta;Yogyakarta;221,46;0,224
02/05/2021 00.00.00;Yogyakarta;Yogyakarta;221,462;0,002
03/05/2021 00.00.00;Yogyakarta;Yogyakarta;226,684;5,222
04/05/2021 00.00.00;Yogyakarta;Yogyakarta;234,67;7,986
05/05/2021 00.00.00;Yogyakarta;Yogyakarta;242,27;7,6
06/05/2021 00.00.00;Yogyakarta;Yogyakarta;250,817;8,547
07/05/2021 00.00.00;Yogyakarta;Yogyakarta;256,646;5,829
08/05/2021 00.00.00;Yogyakarta;Yogyakarta;259,356;2,71
09/05/2021 00.00.00;Yogyakarta;Yogyakarta;259,363;0,007
10/05/2021 00.00.00;Yogyakarta;Yogyakarta;263,666;4,303
11/05/2021 00.00.00;Yogyakarta;Yogyakarta;266,372;2,706
12/05/2021 00.00.00;Yogyakarta;Yogyakarta;266,922;0,55
13/05/2021 00.00.00;Yogyakarta;Yogyakarta;266,946;0,024
14/05/2021 00.00.00;Yogyakarta;Yogyakarta;266,956;0,01
15/05/2021 00.00.00;Yogyakarta;Yogyakarta;267,516;0,56
16/05/2021 00.00.00;Yogyakarta;Yogyakarta;267,521;0,005
17/05/2021 00.00.00;Yogyakarta;Yogyakarta;271,462;3,941
18/05/2021 00.00.00;Yogyakarta;Yogyakarta;279,101;7,639
19/05/2021 00.00.00;Yogyakarta;Yogyakarta;288,692;9,591
20/05/2021 00.00.00;Yogyakarta;Yogyakarta;299,397;10,705
21/05/2021 00.00.00;Yogyakarta;Yogyakarta;303,222;3,825
22/05/2021 00.00.00;Yogyakarta;Yogyakarta;308,713;5,491
23/05/2021 00.00.00;Yogyakarta;Yogyakarta;308,748;0,035
24/05/2021 00.00.00;Yogyakarta;Yogyakarta;314,275;5,527
25/05/2021 00.00.00;Yogyakarta;Yogyakarta;320,63;6,355
26/05/2021 00.00.00;Yogyakarta;Yogyakarta;320,76;0,13
27/05/2021 00.00.00;Yogyakarta;Yogyakarta;330,981;10,221
28/05/2021 00.00.00;Yogyakarta;Yogyakarta;335,825;4,844
29/05/2021 00.00.00;Yogyakarta;Yogyakarta;338,369;2,544
30/05/2021 00.00.00;Yogyakarta;Yogyakarta;338,775;0,406
31/05/2021 00.00.00;Yogyakarta;Yogyakarta;341,394;2,619
01/06/2021 00.00.00;Yogyakarta;Yogyakarta;341,498;0,104
02/06/2021 00.00.00;Yogyakarta;Yogyakarta;347,901;6,403
03/06/2021 00.00.00;Yogyakarta;Yogyakarta;357,349;9,448
04/06/2021 00.00.00;Yogyakarta;Yogyakarta;360,233;2,884
05/06/2021 00.00.00;Yogyakarta;Yogyakarta;364,128;3,895
06/06/2021 00.00.00;Yogyakarta;Yogyakarta;364,833;0,705
07/06/2021 00.00.00;Yogyakarta;Yogyakarta;368,711;3,878
08/06/2021 00.00.00;Yogyakarta;Yogyakarta;372,11;3,399
09/06/2021 00.00.00;Yogyakarta;Yogyakarta;373,496;1,386
10/06/2021 00.00.00;Yogyakarta;Yogyakarta;374,592;1,096
