Tanggal;Prov;Provinsi;Running Sum of divaksin2 (ribu);divaksin2 (ribu)
21/01/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3493,375;24,019
22/01/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3517,698;24,323
23/01/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3524,413;6,715
24/01/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3551,332;26,919
25/01/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3581,722;30,39
26/01/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3611,325;29,603
27/01/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3641,047;29,722
28/01/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3663,766;22,719
29/01/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3683,103;19,337
30/01/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3686,843;3,74
31/01/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3704,488;17,645
01/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3706,86;2,372
02/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3723,818;16,958
03/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3741,867;18,049
04/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3754,427;12,56
05/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3767,23;12,803
06/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3768,554;1,324
07/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3785,292;16,738
08/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3802,652;17,36
09/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3820,052;17,4
10/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3835,617;15,565
11/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3849,387;13,77
12/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3863,222;13,835
13/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3864,766;1,544
14/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3882,118;17,352
15/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3897,459;15,341
16/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3913,494;16,035
17/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3930,379;16,885
18/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3945,175;14,796
19/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3958,632;13,457
20/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3960,619;1,987
21/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3978,154;17,535
22/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;3998,756;20,602
23/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4017,545;18,789
24/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4039,897;22,352
25/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4062,087;22,19
26/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4084,031;21,944
27/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4090,571;6,54
28/02/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4098,18;7,609
01/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4115,294;17,114
02/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4134,112;18,818
03/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4140,628;6,516
04/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4159,693;19,065
05/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4174,473;14,78
06/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4176,169;1,696
07/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4194,413;18,244
08/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4211,191;16,778
09/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4228,616;17,425
10/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4245,513;16,897
11/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4258,485;12,972
12/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4270,73;12,245
13/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4272,855;2,125
14/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4288,835;15,98
15/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4305,104;16,269
16/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4319,368;14,264
17/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4333,743;14,375
18/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4344,624;10,881
19/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4354,631;10,007
20/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4357,497;2,866
21/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4369,48;11,983
22/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4381,432;11,952
23/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4394,879;13,447
24/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4407,208;12,329
25/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4417,286;10,078
26/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4427,572;10,286
27/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4429,987;2,415
28/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4440,843;10,856
29/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4452,938;12,095
30/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4466,672;13,734
31/03/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4479,676;13,004
01/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4488,592;8,916
02/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4493,667;5,075
03/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4494,221;0,554
04/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4497,599;3,378
05/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4501,581;3,982
06/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4505,647;4,066
07/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4509,917;4,270000000
08/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4514,13;4,213000000
09/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4517,263;3,133
10/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4518,088;0,825
11/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4521,104;3,016000000
12/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4525,067;3,963
13/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4529,323;4,256000000
14/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4534,67;5,347
15/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4536,878;2,208
16/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4541,699;4,821000000
17/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4543,106;1,407
18/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4547,987;4,881
19/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4552,746;4,759
20/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4557,502;4,756000000
21/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4562,503;5,001
22/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4566,929;4,426
23/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4571,142;4,213000000
24/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4571,653;0,511
25/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4575,281;3,628
26/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4578,95;3,669
27/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4582,101;3,151
28/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4585,974;3,873
29/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4588,074;2,1
30/04/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4589,944;1,87
01/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4590,176;0,232
02/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4590,341;0,165
03/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4590,532;0,191
04/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4590,958;0,426
05/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4591,442;0,484
06/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4592,203;0,761
07/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4593,412;1,209
08/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4594,091;0,679
09/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4596,913;2,822
10/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4600,62;3,707000000
11/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4604,908;4,288
12/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4608,415;3,507
13/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4611,271;2,856
14/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4615,33;4,059
15/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4616,356;1,026
16/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4617,926;1,57
17/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4621,696;3,770000000
18/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4625,128;3,432
19/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4628,793;3,665
20/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4632,196;3,403000000
21/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4636,46;4,264
22/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4637,281;0,821
23/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4641,512;4,231
24/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4645,668;4,156
25/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4650,579;4,911
26/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4651,178;0,599
27/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4654,004;2,826
28/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4656,548;2,544000000
29/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4657,628;1,08
30/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4660,884;3,256000000
31/05/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4664,388;3,504
01/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4666,15;1,762
02/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4668,925;2,775
03/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4671,779;2,854
04/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4673,932;2,153
05/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4675,286;1,354
06/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4678,155;2,869
07/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4680,719;2,564
08/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4683,668;2,949
09/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4686,232;2,564
10/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4688,732;2,5
11/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4690,604;1,872
12/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4691,552;0,948
13/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4695,064;3,512
14/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4699,261;4,197
15/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4705,561;6,3
16/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4710,707;5,146
17/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4715,209;4,502
18/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4717,961;2,752
19/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4719,162;1,201
20/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4722,934;3,772
21/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4726,511;3,577
22/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4729,738;3,227
23/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4733,414;3,676
24/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4736,384;2,97
25/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4738,452;2,068
26/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4739,279;0,827
27/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4741,938;2,659
28/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4744,94;3,002000000
29/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4747,412;2,472
30/06/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4749,542;2,13
01/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4750,935;1,393
02/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4752,424;1,489
03/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4752,787;0,363
04/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4753,988;1,201
05/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4755,362;1,374
06/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4757,099;1,737
07/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4759,208;2,109
08/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4760,761;1,553
09/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4760,9;0,139
10/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4760,929;0,029
11/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4761,891;0,962
12/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4763,043;1,152
13/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4764,276;1,233
14/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4765,942;1,666
15/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4767,328;1,386
16/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4768,815;1,487
17/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4769,178;0,363
18/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4770,91;1,732
19/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4772,794;1,884
20/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4774,565;1,771
21/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4776,619;2,054
22/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4777,972;1,353
23/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4779,209;1,237
24/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4779,462;0,253
25/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4781,015;1,553
26/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4782,306;1,291
27/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4783,617;1,311
28/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4784,808;1,191
29/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4785,99;1,182
30/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4786,501;0,511
31/07/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4786,914;0,413
01/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4787,698;0,784
02/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4788,59;0,892
03/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4789,359;0,769
04/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4790,424;1,065
05/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4791,706;1,282
06/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4792,913;1,207
07/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4793,206;0,293
08/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4794,493;1,287
09/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4795,988;1,495
10/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4797,348;1,36
11/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4798,567;1,219
12/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4799,39;0,823
13/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4800,363;0,973
14/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4800,56;0,197
15/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4801,378;0,818
16/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4802,166;0,788
17/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4802,495;0,329
18/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4803,445;0,95
19/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4804,286;0,841
20/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4805,019;0,733
21/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4805,201;0,182
22/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4807,176;1,975
23/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4808,73;1,554
24/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4810,197;1,467
25/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4811,694;1,497
26/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4812,811;1,117
27/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4813,425;0,614
28/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4813,595;0,17
29/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4814,389;0,794
30/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4815,168;0,779
31/08/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4816,177;1,009
01/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4816,87;0,693
02/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4817,447;0,577
03/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4818,025;0,578
04/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4818,2;0,175
05/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4818,697;0,497
06/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4819,418;0,721
07/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4819,831;0,413
08/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4820,497;0,666
09/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4820,927;0,43
10/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4821,357;0,43
11/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4821,408;0,051
12/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4821,917;0,509
13/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4822,586;0,669
14/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4823,007;0,421
15/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4823,55;0,543
16/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4823,936;0,386
17/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4824,458;0,522
18/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4824,538;0,08
19/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4824,972;0,434
20/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4825,45;0,478
21/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4825,951;0,501
22/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4826,382;0,431
23/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4826,872;0,49
24/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4827,298;0,426
25/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4827,322;0,024
26/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4827,751;0,429
27/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4828,193;0,442
28/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4828,51;0,317
29/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4828,994;0,484
30/09/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4829,318;0,324
01/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4829,521;0,203
02/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4829,538;0,017
03/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4829,832;0,294
04/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4830,248;0,416
05/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4830,567;0,319
06/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4830,93;0,363
07/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4831,2;0,27
08/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4831,285;0,085
09/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4831,313;0,028
10/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4831,636;0,323
11/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4831,992;0,356
12/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4832,271000000;0,279
13/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4832,677000000;0,406
14/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4833,023;0,346
15/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4833,501;0,478
16/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4833,651;0,15
17/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4834,105;0,454
18/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4834,531;0,426
19/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4834,903;0,372
20/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4835,42;0,517
21/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4835,772;0,352
22/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4836,093;0,321
23/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4836,109;0,016
24/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4836,563;0,454
25/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4836,941;0,378
26/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4837,293;0,352
27/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4837,687;0,394
28/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4837,99;0,303
29/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4838,253;0,263
30/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4838,283;0,03
31/10/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4838,633;0,35
01/11/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4838,977;0,344
02/11/2022 00.00.00;Sulawesi Selatan;Sulawesi Selatan;4839,109;0,132
13/01/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
15/01/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
16/01/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
18/01/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
20/01/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
21/01/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
22/01/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
23/01/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
28/01/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
29/01/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
31/01/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
02/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
03/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
04/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
05/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
06/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
07/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
08/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
09/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0;0
10/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0,001;0,001
11/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0,001;0
12/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0,001;0
13/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0,001;0
14/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0,001;0
15/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0,001;0
16/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0,02;0,019
17/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0,086;0,066
18/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;0,251;0,165
19/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;1,244;0,993
20/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;2,302;1,058
21/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;2,434;0,132
22/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;2,986;0,552
23/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;3,187;0,201
24/02/2021 00.00.00;Sulawesi Barat;Sulawesi Barat;3,76;0,573
