Tanggal;Provinsi;Running Sum of divaksin1 (ribu);divaksin1 (ribu)
13/01/2021 00.00.00;Yogyakarta;0;0
14/01/2021 00.00.00;Yogyakarta;0,873;0,873
15/01/2021 00.00.00;Yogyakarta;1,166;0,293
16/01/2021 00.00.00;Yogyakarta;1,479;0,313
18/01/2021 00.00.00;Yogyakarta;3,362;1,883
19/01/2021 00.00.00;Yogyakarta;4,825;1,463
20/01/2021 00.00.00;Yogyakarta;6,125;1,3
21/01/2021 00.00.00;Yogyakarta;7,299;1,174
22/01/2021 00.00.00;Yogyakarta;7,843;0,544
23/01/2021 00.00.00;Yogyakarta;8,456;0,613
24/01/2021 00.00.00;Yogyakarta;8,667;0,211
25/01/2021 00.00.00;Yogyakarta;10,089;1,422
26/01/2021 00.00.00;Yogyakarta;11,532;1,443
27/01/2021 00.00.00;Yogyakarta;13,328;1,796
28/01/2021 00.00.00;Yogyakarta;17,197;3,869
29/01/2021 00.00.00;Yogyakarta;18,197;1
30/01/2021 00.00.00;Yogyakarta;18,858;0,661
31/01/2021 00.00.00;Yogyakarta;18,91;0,052
01/02/2021 00.00.00;Yogyakarta;21,005;2,095
02/02/2021 00.00.00;Yogyakarta;23,571;2,566
03/02/2021 00.00.00;Yogyakarta;25,993;2,422
04/02/2021 00.00.00;Yogyakarta;28,051;2,058
05/02/2021 00.00.00;Yogyakarta;29,389;1,338
06/02/2021 00.00.00;Yogyakarta;30,523;1,134
07/02/2021 00.00.00;Yogyakarta;30,563;0,04
08/02/2021 00.00.00;Yogyakarta;31,182;0,619
09/02/2021 00.00.00;Yogyakarta;31,606;0,424
10/02/2021 00.00.00;Yogyakarta;32,031;0,425
11/02/2021 00.00.00;Yogyakarta;32,683;0,652
12/02/2021 00.00.00;Yogyakarta;32,684;0,001
13/02/2021 00.00.00;Yogyakarta;33,17;0,486
14/02/2021 00.00.00;Yogyakarta;33,174;0,004
15/02/2021 00.00.00;Yogyakarta;33,402;0,228
16/02/2021 00.00.00;Yogyakarta;33,631;0,229
17/02/2021 00.00.00;Yogyakarta;33,807;0,176
18/02/2021 00.00.00;Yogyakarta;34,075;0,268
19/02/2021 00.00.00;Yogyakarta;34,221;0,146
20/02/2021 00.00.00;Yogyakarta;35,184;0,963
21/02/2021 00.00.00;Yogyakarta;35,184;0
22/02/2021 00.00.00;Yogyakarta;35,631;0,447
23/02/2021 00.00.00;Yogyakarta;35,841;0,21
24/02/2021 00.00.00;Yogyakarta;35,977;0,136
25/02/2021 00.00.00;Yogyakarta;36,114;0,137
26/02/2021 00.00.00;Yogyakarta;36,195;0,081
27/02/2021 00.00.00;Yogyakarta;36,487;0,292
28/02/2021 00.00.00;Yogyakarta;36,718;0,231
01/03/2021 00.00.00;Yogyakarta;39,3;2,582
02/03/2021 00.00.00;Yogyakarta;43,486;4,186
03/03/2021 00.00.00;Yogyakarta;49,91;6,424
04/03/2021 00.00.00;Yogyakarta;59,223;9,313
05/03/2021 00.00.00;Yogyakarta;65,752;6,529
06/03/2021 00.00.00;Yogyakarta;71,553;5,801
07/03/2021 00.00.00;Yogyakarta;71,729;0,176
08/03/2021 00.00.00;Yogyakarta;76,475;4,746
09/03/2021 00.00.00;Yogyakarta;84,122;7,647
10/03/2021 00.00.00;Yogyakarta;93,504;9,382000000
11/03/2021 00.00.00;Yogyakarta;93,667;0,163
12/03/2021 00.00.00;Yogyakarta;97,681;4,014
13/03/2021 00.00.00;Yogyakarta;102,241;4,56
14/03/2021 00.00.00;Yogyakarta;102,456;0,215
15/03/2021 00.00.00;Yogyakarta;110,206;7,75
16/03/2021 00.00.00;Yogyakarta;119,926;9,72
17/03/2021 00.00.00;Yogyakarta;128,47;8,544
18/03/2021 00.00.00;Yogyakarta;138,175;9,705
19/03/2021 00.00.00;Yogyakarta;143,72;5,545
20/03/2021 00.00.00;Yogyakarta;147,607;3,887
21/03/2021 00.00.00;Yogyakarta;148,969;1,362
22/03/2021 00.00.00;Yogyakarta;155,956;6,987
23/03/2021 00.00.00;Yogyakarta;163,402;7,446
24/03/2021 00.00.00;Yogyakarta;170,762;7,36
25/03/2021 00.00.00;Yogyakarta;181,005;10,243
26/03/2021 00.00.00;Yogyakarta;188,605;7,6
27/03/2021 00.00.00;Yogyakarta;198,471;9,866
28/03/2021 00.00.00;Yogyakarta;201,574;3,103
29/03/2021 00.00.00;Yogyakarta;210,232;8,658
30/03/2021 00.00.00;Yogyakarta;220,429;10,197
31/03/2021 00.00.00;Yogyakarta;226,88;6,451
01/04/2021 00.00.00;Yogyakarta;234,586;7,706
02/04/2021 00.00.00;Yogyakarta;235,31;0,724
03/04/2021 00.00.00;Yogyakarta;236,836;1,526
04/04/2021 00.00.00;Yogyakarta;236,836;0
05/04/2021 00.00.00;Yogyakarta;241,808;4,972
06/04/2021 00.00.00;Yogyakarta;250,842;9,034
07/04/2021 00.00.00;Yogyakarta;260,363;9,521
08/04/2021 00.00.00;Yogyakarta;270,267;9,904
09/04/2021 00.00.00;Yogyakarta;276,918;6,651
10/04/2021 00.00.00;Yogyakarta;280,147;3,229
11/04/2021 00.00.00;Yogyakarta;280,16;0,013
12/04/2021 00.00.00;Yogyakarta;285,894;5,734
13/04/2021 00.00.00;Yogyakarta;288,699;2,805
14/04/2021 00.00.00;Yogyakarta;291,127;2,428
15/04/2021 00.00.00;Yogyakarta;295,287;4,16
16/04/2021 00.00.00;Yogyakarta;296,673;1,386
17/04/2021 00.00.00;Yogyakarta;299,448;2,775
18/04/2021 00.00.00;Yogyakarta;299,471;0,023
19/04/2021 00.00.00;Yogyakarta;303,161;3,69
20/04/2021 00.00.00;Yogyakarta;311,136;7,975
21/04/2021 00.00.00;Yogyakarta;318,754;7,618
22/04/2021 00.00.00;Yogyakarta;328,217;9,463
23/04/2021 00.00.00;Yogyakarta;332,036;3,819
24/04/2021 00.00.00;Yogyakarta;336,998;4,962
25/04/2021 00.00.00;Yogyakarta;337,023;0,025
26/04/2021 00.00.00;Yogyakarta;342,456;5,433
27/04/2021 00.00.00;Yogyakarta;348,383;5,927
28/04/2021 00.00.00;Yogyakarta;353,586;5,203
29/04/2021 00.00.00;Yogyakarta;360,603;7,017
30/04/2021 00.00.00;Yogyakarta;364,888;4,285
01/05/2021 00.00.00;Yogyakarta;364,962;0,074
02/05/2021 00.00.00;Yogyakarta;365,361;0,399
03/05/2021 00.00.00;Yogyakarta;368,374;3,013
04/05/2021 00.00.00;Yogyakarta;373,69;5,316
05/05/2021 00.00.00;Yogyakarta;379,684;5,994
06/05/2021 00.00.00;Yogyakarta;385,481;5,797
07/05/2021 00.00.00;Yogyakarta;388,496;3,015
08/05/2021 00.00.00;Yogyakarta;392,927;4,431
09/05/2021 00.00.00;Yogyakarta;393,714;0,787
10/05/2021 00.00.00;Yogyakarta;397,159;3,445
11/05/2021 00.00.00;Yogyakarta;399,117;1,958
12/05/2021 00.00.00;Yogyakarta;399,364;0,247
13/05/2021 00.00.00;Yogyakarta;399,365;0,001
14/05/2021 00.00.00;Yogyakarta;399,366;0,001
15/05/2021 00.00.00;Yogyakarta;399,395;0,029
16/05/2021 00.00.00;Yogyakarta;399,409;0,014
17/05/2021 00.00.00;Yogyakarta;400,661;1,252
18/05/2021 00.00.00;Yogyakarta;403,196;2,535
19/05/2021 00.00.00;Yogyakarta;406,45;3,254
20/05/2021 00.00.00;Yogyakarta;409,738;3,288
21/05/2021 00.00.00;Yogyakarta;411,559;1,821
22/05/2021 00.00.00;Yogyakarta;413,579;2,02
23/05/2021 00.00.00;Yogyakarta;415,501;1,922
24/05/2021 00.00.00;Yogyakarta;419,064;3,563
25/05/2021 00.00.00;Yogyakarta;423,379;4,315
26/05/2021 00.00.00;Yogyakarta;423,409;0,03
27/05/2021 00.00.00;Yogyakarta;428,994;5,585
28/05/2021 00.00.00;Yogyakarta;430,566;1,572
29/05/2021 00.00.00;Yogyakarta;433,611;3,045
30/05/2021 00.00.00;Yogyakarta;435,849;2,238
31/05/2021 00.00.00;Yogyakarta;439,622;3,773
01/06/2021 00.00.00;Yogyakarta;439,631;0,009
02/06/2021 00.00.00;Yogyakarta;442,169;2,538
03/06/2021 00.00.00;Yogyakarta;448,386;6,217
04/06/2021 00.00.00;Yogyakarta;451,636;3,25
05/06/2021 00.00.00;Yogyakarta;453,925;2,289
06/06/2021 00.00.00;Yogyakarta;453,959;0,034
07/06/2021 00.00.00;Yogyakarta;459,955;5,996
08/06/2021 00.00.00;Yogyakarta;468,537;8,582
09/06/2021 00.00.00;Yogyakarta;479,402;10,865
10/06/2021 00.00.00;Yogyakarta;492,503;13,101
11/06/2021 00.00.00;Yogyakarta;499,32;6,817
12/06/2021 00.00.00;Yogyakarta;508,139;8,819
13/06/2021 00.00.00;Yogyakarta;508,591;0,452
14/06/2021 00.00.00;Yogyakarta;520,887;12,296
15/06/2021 00.00.00;Yogyakarta;536,272;15,385
16/06/2021 00.00.00;Yogyakarta;552,983;16,711
17/06/2021 00.00.00;Yogyakarta;570,382;17,399
18/06/2021 00.00.00;Yogyakarta;580,509;10,127
19/06/2021 00.00.00;Yogyakarta;591,516;11,007
20/06/2021 00.00.00;Yogyakarta;598,591;7,075
21/06/2021 00.00.00;Yogyakarta;616,986;18,395
22/06/2021 00.00.00;Yogyakarta;638,694;21,708
23/06/2021 00.00.00;Yogyakarta;666,792;28,098
24/06/2021 00.00.00;Yogyakarta;693,364;26,572
25/06/2021 00.00.00;Yogyakarta;707,578;14,214
26/06/2021 00.00.00;Yogyakarta;733,856;26,278
27/06/2021 00.00.00;Yogyakarta;736,993;3,137
28/06/2021 00.00.00;Yogyakarta;753,99;16,997
29/06/2021 00.00.00;Yogyakarta;773,955;19,965
30/06/2021 00.00.00;Yogyakarta;791,889;17,934
01/07/2021 00.00.00;Yogyakarta;804,461;12,572
02/07/2021 00.00.00;Yogyakarta;810,577;6,116
03/07/2021 00.00.00;Yogyakarta;817,49;6,913
04/07/2021 00.00.00;Yogyakarta;818,909;1,419
05/07/2021 00.00.00;Yogyakarta;832,574;13,665
06/07/2021 00.00.00;Yogyakarta;849,72;17,146
07/07/2021 00.00.00;Yogyakarta;868,222;18,502
08/07/2021 00.00.00;Yogyakarta;886,78;18,558
09/07/2021 00.00.00;Yogyakarta;896,282;9,502
10/07/2021 00.00.00;Yogyakarta;905,285;9,003
11/07/2021 00.00.00;Yogyakarta;907,187;1,902
12/07/2021 00.00.00;Yogyakarta;922,272;15,085
13/07/2021 00.00.00;Yogyakarta;941,621;19,349
14/07/2021 00.00.00;Yogyakarta;960,147;18,526
15/07/2021 00.00.00;Yogyakarta;982,311;22,164
16/07/2021 00.00.00;Yogyakarta;991,812;9,501
17/07/2021 00.00.00;Yogyakarta;1001,895;10,083
18/07/2021 00.00.00;Yogyakarta;1004,454;2,559
19/07/2021 00.00.00;Yogyakarta;1015,419;10,965
20/07/2021 00.00.00;Yogyakarta;1015,974;0,555
21/07/2021 00.00.00;Yogyakarta;1031,969;15,995
22/07/2021 00.00.00;Yogyakarta;1051,637;19,668
23/07/2021 00.00.00;Yogyakarta;1061,439;9,802
24/07/2021 00.00.00;Yogyakarta;1073,396;11,957
25/07/2021 00.00.00;Yogyakarta;1078,64;5,244
26/07/2021 00.00.00;Yogyakarta;1099,517;20,877
27/07/2021 00.00.00;Yogyakarta;1121,973;22,456
28/07/2021 00.00.00;Yogyakarta;1146,516;24,543
29/07/2021 00.00.00;Yogyakarta;1170,76;24,244
30/07/2021 00.00.00;Yogyakarta;1179,953;9,193
31/07/2021 00.00.00;Yogyakarta;1192,49;12,537
01/08/2021 00.00.00;Yogyakarta;1197,342;4,852
02/08/2021 00.00.00;Yogyakarta;1208,637;11,295
03/08/2021 00.00.00;Yogyakarta;1221,884;13,247
04/08/2021 00.00.00;Yogyakarta;1234,71;12,826
05/08/2021 00.00.00;Yogyakarta;1251,022;16,312
06/08/2021 00.00.00;Yogyakarta;1260,772;9,75
07/08/2021 00.00.00;Yogyakarta;1272,29;11,518
08/08/2021 00.00.00;Yogyakarta;1277,531;5,241
09/08/2021 00.00.00;Yogyakarta;1291,6;14,069
10/08/2021 00.00.00;Yogyakarta;1300,6;9,000000000
11/08/2021 00.00.00;Yogyakarta;1302,969;2,369
12/08/2021 00.00.00;Yogyakarta;1319,86;16,891
13/08/2021 00.00.00;Yogyakarta;1331,714;11,854
14/08/2021 00.00.00;Yogyakarta;1345,527;13,813
15/08/2021 00.00.00;Yogyakarta;1347,479;1,952
16/08/2021 00.00.00;Yogyakarta;1362,911;15,432
17/08/2021 00.00.00;Yogyakarta;1368,642;5,731
18/08/2021 00.00.00;Yogyakarta;1389,617;20,975
19/08/2021 00.00.00;Yogyakarta;1412,548;22,931
20/08/2021 00.00.00;Yogyakarta;1424,144;11,596
21/08/2021 00.00.00;Yogyakarta;1447,799;23,655
22/08/2021 00.00.00;Yogyakarta;1454,619;6,82
23/08/2021 00.00.00;Yogyakarta;1472,679;18,06
24/08/2021 00.00.00;Yogyakarta;1494,851;22,172
25/08/2021 00.00.00;Yogyakarta;1526,64;31,789
26/08/2021 00.00.00;Yogyakarta;1560,846;34,206
27/08/2021 00.00.00;Yogyakarta;1588,128;27,282
28/08/2021 00.00.00;Yogyakarta;1623,1;34,972
29/08/2021 00.00.00;Yogyakarta;1634,087;10,987
30/08/2021 00.00.00;Yogyakarta;1659,074;24,987
31/08/2021 00.00.00;Yogyakarta;1687,687;28,613
01/09/2021 00.00.00;Yogyakarta;1716,736;29,049
02/09/2021 00.00.00;Yogyakarta;1749,172;32,436
03/09/2021 00.00.00;Yogyakarta;1774,181;25,009
04/09/2021 00.00.00;Yogyakarta;1804,463;30,282
05/09/2021 00.00.00;Yogyakarta;1816,62;12,157
06/09/2021 00.00.00;Yogyakarta;1846,677;30,057
07/09/2021 00.00.00;Yogyakarta;1884,227;37,55
08/09/2021 00.00.00;Yogyakarta;1920,054;35,827
09/09/2021 00.00.00;Yogyakarta;1960,949;40,895
10/09/2021 00.00.00;Yogyakarta;1982,54;21,591
11/09/2021 00.00.00;Yogyakarta;2011,49;28,95
12/09/2021 00.00.00;Yogyakarta;2019,727;8,237
13/09/2021 00.00.00;Yogyakarta;2049,343;29,616
14/09/2021 00.00.00;Yogyakarta;2084,576;35,233
15/09/2021 00.00.00;Yogyakarta;2114,405;29,829
16/09/2021 00.00.00;Yogyakarta;2151,11;36,705
17/09/2021 00.00.00;Yogyakarta;2176,603;25,493
18/09/2021 00.00.00;Yogyakarta;2211,126;34,523
19/09/2021 00.00.00;Yogyakarta;2217,135;6,009
20/09/2021 00.00.00;Yogyakarta;2239,138;22,003
21/09/2021 00.00.00;Yogyakarta;2258,677;19,539
22/09/2021 00.00.00;Yogyakarta;2286,036;27,359
23/09/2021 00.00.00;Yogyakarta;2313,397;27,361
24/09/2021 00.00.00;Yogyakarta;2324,438;11,041
25/09/2021 00.00.00;Yogyakarta;2343,38;18,942
26/09/2021 00.00.00;Yogyakarta;2350,961;7,581
27/09/2021 00.00.00;Yogyakarta;2362,64;11,679
28/09/2021 00.00.00;Yogyakarta;2380,575;17,935
29/09/2021 00.00.00;Yogyakarta;2402,83;22,255
30/09/2021 00.00.00;Yogyakarta;2422,101;19,271
01/10/2021 00.00.00;Yogyakarta;2428,493;6,392
02/10/2021 00.00.00;Yogyakarta;2444,263;15,77
03/10/2021 00.00.00;Yogyakarta;2448,689;4,426
04/10/2021 00.00.00;Yogyakarta;2462,352;13,663
05/10/2021 00.00.00;Yogyakarta;2475,735;13,383
06/10/2021 00.00.00;Yogyakarta;2495,011;19,276
07/10/2021 00.00.00;Yogyakarta;2508,731;13,72
08/10/2021 00.00.00;Yogyakarta;2516,708;7,977
09/10/2021 00.00.00;Yogyakarta;2534,611;17,903
10/10/2021 00.00.00;Yogyakarta;2538,244;3,633
11/10/2021 00.00.00;Yogyakarta;2545,464;7,22
12/10/2021 00.00.00;Yogyakarta;2559,137;13,673
13/10/2021 00.00.00;Yogyakarta;2570,657;11,52
14/10/2021 00.00.00;Yogyakarta;2577,99;7,333
15/10/2021 00.00.00;Yogyakarta;2584,864;6,874
16/10/2021 00.00.00;Yogyakarta;2594,639;9,775
17/10/2021 00.00.00;Yogyakarta;2597,223;2,584
18/10/2021 00.00.00;Yogyakarta;2609,002;11,779
19/10/2021 00.00.00;Yogyakarta;2615,842;6,84
20/10/2021 00.00.00;Yogyakarta;2619,592;3,75
21/10/2021 00.00.00;Yogyakarta;2628,332;8,74
22/10/2021 00.00.00;Yogyakarta;2634,758;6,426
23/10/2021 00.00.00;Yogyakarta;2644,867;10,109
24/10/2021 00.00.00;Yogyakarta;2649,095;4,228
25/10/2021 00.00.00;Yogyakarta;2657,22;8,125
26/10/2021 00.00.00;Yogyakarta;2665,992;8,772
27/10/2021 00.00.00;Yogyakarta;2674,85;8,858
28/10/2021 00.00.00;Yogyakarta;2682,736;7,886
29/10/2021 00.00.00;Yogyakarta;2686,52;3,784
30/10/2021 00.00.00;Yogyakarta;2693,591;7,071
31/10/2021 00.00.00;Yogyakarta;2695,749;2,158
01/11/2021 00.00.00;Yogyakarta;2701,72;5,971
02/11/2021 00.00.00;Yogyakarta;2707,327;5,607
03/11/2021 00.00.00;Yogyakarta;2712,928;5,601
04/11/2021 00.00.00;Yogyakarta;2720,198;7,27
05/11/2021 00.00.00;Yogyakarta;2723,661;3,463
06/11/2021 00.00.00;Yogyakarta;2728,372;4,711
07/11/2021 00.00.00;Yogyakarta;2730,209;1,837
08/11/2021 00.00.00;Yogyakarta;2735,109;4,9
09/11/2021 00.00.00;Yogyakarta;2739,641;4,532
10/11/2021 00.00.00;Yogyakarta;2743,87;4,229
11/11/2021 00.00.00;Yogyakarta;2750,004;6,134
12/11/2021 00.00.00;Yogyakarta;2752,504;2,5
13/11/2021 00.00.00;Yogyakarta;2757,568;5,064
14/11/2021 00.00.00;Yogyakarta;2759,12;1,552
15/11/2021 00.00.00;Yogyakarta;2762,607;3,487
16/11/2021 00.00.00;Yogyakarta;2767,579;4,972
17/11/2021 00.00.00;Yogyakarta;2772,459;4,88
18/11/2021 00.00.00;Yogyakarta;2775,975;3,516
19/11/2021 00.00.00;Yogyakarta;2777,831;1,856
20/11/2021 00.00.00;Yogyakarta;2779,964;2,133
21/11/2021 00.00.00;Yogyakarta;2781,687;1,723
22/11/2021 00.00.00;Yogyakarta;2784,686;2,999
23/11/2021 00.00.00;Yogyakarta;2788,802;4,116
24/11/2021 00.00.00;Yogyakarta;2791,56;2,758
25/11/2021 00.00.00;Yogyakarta;2796,108;4,548
26/11/2021 00.00.00;Yogyakarta;2797,51;1,402
27/11/2021 00.00.00;Yogyakarta;2800,129;2,619
28/11/2021 00.00.00;Yogyakarta;2800,688;0,559
29/11/2021 00.00.00;Yogyakarta;2804,122;3,434
30/11/2021 00.00.00;Yogyakarta;2806,15;2,028
01/12/2021 00.00.00;Yogyakarta;2808,616;2,466
02/12/2021 00.00.00;Yogyakarta;2811,061;2,445
03/12/2021 00.00.00;Yogyakarta;2812,281;1,22
04/12/2021 00.00.00;Yogyakarta;2813,425;1,144
05/12/2021 00.00.00;Yogyakarta;2813,627;0,202
06/12/2021 00.00.00;Yogyakarta;2815,093;1,466
07/12/2021 00.00.00;Yogyakarta;2817,141;2,048
08/12/2021 00.00.00;Yogyakarta;2819,556;2,415
09/12/2021 00.00.00;Yogyakarta;2822,911;3,355
10/12/2021 00.00.00;Yogyakarta;2824,602;1,691
11/12/2021 00.00.00;Yogyakarta;2826,101;1,499
12/12/2021 00.00.00;Yogyakarta;2826,918;0,817
13/12/2021 00.00.00;Yogyakarta;2828,558;1,64
14/12/2021 00.00.00;Yogyakarta;2830,853;2,295
15/12/2021 00.00.00;Yogyakarta;2833,256;2,403
16/12/2021 00.00.00;Yogyakarta;2835,634;2,378
17/12/2021 00.00.00;Yogyakarta;2838,15;2,516
18/12/2021 00.00.00;Yogyakarta;2844,742;6,592
19/12/2021 00.00.00;Yogyakarta;2845,371;0,629
20/12/2021 00.00.00;Yogyakarta;2850,334;4,963
21/12/2021 00.00.00;Yogyakarta;2858,639;8,305
22/12/2021 00.00.00;Yogyakarta;2869,182;10,543
23/12/2021 00.00.00;Yogyakarta;2880,842;11,66
24/12/2021 00.00.00;Yogyakarta;2886,426;5,584
25/12/2021 00.00.00;Yogyakarta;2886,634;0,208
26/12/2021 00.00.00;Yogyakarta;2887,319;0,685
27/12/2021 00.00.00;Yogyakarta;2903,324;16,005
28/12/2021 00.00.00;Yogyakarta;2920,525;17,201
29/12/2021 00.00.00;Yogyakarta;2935,147;14,622
30/12/2021 00.00.00;Yogyakarta;2950,05;14,903
31/12/2021 00.00.00;Yogyakarta;2957,254;7,204
01/01/2022 00.00.00;Yogyakarta;2957,465;0,211
02/01/2022 00.00.00;Yogyakarta;2957,636;0,171
03/01/2022 00.00.00;Yogyakarta;2966,736;9,1
04/01/2022 00.00.00;Yogyakarta;2978,674;11,938
05/01/2022 00.00.00;Yogyakarta;2989,322;10,648
06/01/2022 00.00.00;Yogyakarta;3005,97;16,648
07/01/2022 00.00.00;Yogyakarta;3014,858;8,888
08/01/2022 00.00.00;Yogyakarta;3024,743;9,885
09/01/2022 00.00.00;Yogyakarta;3029,414;4,671
10/01/2022 00.00.00;Yogyakarta;3040,571;11,157
11/01/2022 00.00.00;Yogyakarta;3054,261;13,69
12/01/2022 00.00.00;Yogyakarta;3068,665;14,404
13/01/2022 00.00.00;Yogyakarta;3083,274;14,609
14/01/2022 00.00.00;Yogyakarta;3090,558;7,284
15/01/2022 00.00.00;Yogyakarta;3098,731;8,173
16/01/2022 00.00.00;Yogyakarta;3102,619;3,888
17/01/2022 00.00.00;Yogyakarta;3112,086;9,467
18/01/2022 00.00.00;Yogyakarta;3121,615;9,529
19/01/2022 00.00.00;Yogyakarta;3131,147;9,532
20/01/2022 00.00.00;Yogyakarta;3139,983;8,836
21/01/2022 00.00.00;Yogyakarta;3143,599;3,616
22/01/2022 00.00.00;Yogyakarta;3147,514;3,915
23/01/2022 00.00.00;Yogyakarta;3149,048;1,534
24/01/2022 00.00.00;Yogyakarta;3155,406;6,358
25/01/2022 00.00.00;Yogyakarta;3159,733;4,327
26/01/2022 00.00.00;Yogyakarta;3164,621;4,888
27/01/2022 00.00.00;Yogyakarta;3167,969;3,348
28/01/2022 00.00.00;Yogyakarta;3169,082;1,113
29/01/2022 00.00.00;Yogyakarta;3169,844;0,762
30/01/2022 00.00.00;Yogyakarta;3169,856;0,012
31/01/2022 00.00.00;Yogyakarta;3170,926;1,07
01/02/2022 00.00.00;Yogyakarta;3170,962;0,036
02/02/2022 00.00.00;Yogyakarta;3172,244;1,282
03/02/2022 00.00.00;Yogyakarta;3173,852;1,608
04/02/2022 00.00.00;Yogyakarta;3174,57;0,718
05/02/2022 00.00.00;Yogyakarta;3175,279;0,709
06/02/2022 00.00.00;Yogyakarta;3175,355;0,076
07/02/2022 00.00.00;Yogyakarta;3176,35;0,995
08/02/2022 00.00.00;Yogyakarta;3177,18;0,83
09/02/2022 00.00.00;Yogyakarta;3178,179;0,999
10/02/2022 00.00.00;Yogyakarta;3179,18;1,001
11/02/2022 00.00.00;Yogyakarta;3179,614;0,434
12/02/2022 00.00.00;Yogyakarta;3180,073;0,459
13/02/2022 00.00.00;Yogyakarta;3180,154;0,081
14/02/2022 00.00.00;Yogyakarta;3180,71;0,556
15/02/2022 00.00.00;Yogyakarta;3181,482;0,772
16/02/2022 00.00.00;Yogyakarta;3182,189;0,707
17/02/2022 00.00.00;Yogyakarta;3183,203;1,014
18/02/2022 00.00.00;Yogyakarta;3183,619;0,416
19/02/2022 00.00.00;Yogyakarta;3184,039;0,42
20/02/2022 00.00.00;Yogyakarta;3184,072;0,033
21/02/2022 00.00.00;Yogyakarta;3184,586;0,514
22/02/2022 00.00.00;Yogyakarta;3185,045;0,459
23/02/2022 00.00.00;Yogyakarta;3185,696;0,651
24/02/2022 00.00.00;Yogyakarta;3186,589;0,893
25/02/2022 00.00.00;Yogyakarta;3187,01;0,421
26/02/2022 00.00.00;Yogyakarta;3187,765;0,755
27/02/2022 00.00.00;Yogyakarta;3188,154;0,389
28/02/2022 00.00.00;Yogyakarta;3188,421;0,267
01/03/2022 00.00.00;Yogyakarta;3188,603;0,182
02/03/2022 00.00.00;Yogyakarta;3188,966;0,363
03/03/2022 00.00.00;Yogyakarta;3189,001;0,035
04/03/2022 00.00.00;Yogyakarta;3189,339;0,338
05/03/2022 00.00.00;Yogyakarta;3189,633;0,294
06/03/2022 00.00.00;Yogyakarta;3189,658;0,025
07/03/2022 00.00.00;Yogyakarta;3189,991;0,333
08/03/2022 00.00.00;Yogyakarta;3190,337;0,346
09/03/2022 00.00.00;Yogyakarta;3190,769;0,432
10/03/2022 00.00.00;Yogyakarta;3191,229;0,46
11/03/2022 00.00.00;Yogyakarta;3191,642;0,413
12/03/2022 00.00.00;Yogyakarta;3191,966;0,324
13/03/2022 00.00.00;Yogyakarta;3192,018;0,052
14/03/2022 00.00.00;Yogyakarta;3192,366;0,348
15/03/2022 00.00.00;Yogyakarta;3192,778;0,412
16/03/2022 00.00.00;Yogyakarta;3193,234;0,456
17/03/2022 00.00.00;Yogyakarta;3194,186;0,952
18/03/2022 00.00.00;Yogyakarta;3194,63;0,444
19/03/2022 00.00.00;Yogyakarta;3194,986;0,356
20/03/2022 00.00.00;Yogyakarta;3195,171;0,185
21/03/2022 00.00.00;Yogyakarta;3195,578;0,407
22/03/2022 00.00.00;Yogyakarta;3196,148;0,57
23/03/2022 00.00.00;Yogyakarta;3197,023;0,875
24/03/2022 00.00.00;Yogyakarta;3197,705;0,682
25/03/2022 00.00.00;Yogyakarta;3198,085;0,38
26/03/2022 00.00.00;Yogyakarta;3198,58;0,495
27/03/2022 00.00.00;Yogyakarta;3198,87;0,29
28/03/2022 00.00.00;Yogyakarta;3199,342;0,472
29/03/2022 00.00.00;Yogyakarta;3200,471;1,129
30/03/2022 00.00.00;Yogyakarta;3201,183;0,712
31/03/2022 00.00.00;Yogyakarta;3202,173;0,99
01/04/2022 00.00.00;Yogyakarta;3202,624;0,451
02/04/2022 00.00.00;Yogyakarta;3202,77;0,146
03/04/2022 00.00.00;Yogyakarta;3202,788;0,018
04/04/2022 00.00.00;Yogyakarta;3202,949;0,161
05/04/2022 00.00.00;Yogyakarta;3203,192;0,243
06/04/2022 00.00.00;Yogyakarta;3203,479;0,287
07/04/2022 00.00.00;Yogyakarta;3203,851;0,372
08/04/2022 00.00.00;Yogyakarta;3204,088;0,237
09/04/2022 00.00.00;Yogyakarta;3204,404;0,316
10/04/2022 00.00.00;Yogyakarta;3204,515;0,111
11/04/2022 00.00.00;Yogyakarta;3204,878;0,363
12/04/2022 00.00.00;Yogyakarta;3206,06;1,182
13/04/2022 00.00.00;Yogyakarta;3208,827;2,767
14/04/2022 00.00.00;Yogyakarta;3213,487;4,66
15/04/2022 00.00.00;Yogyakarta;3216,128;2,641
16/04/2022 00.00.00;Yogyakarta;3219,36;3,232
17/04/2022 00.00.00;Yogyakarta;3220,049;0,689
18/04/2022 00.00.00;Yogyakarta;3223,19;3,141
19/04/2022 00.00.00;Yogyakarta;3224,558;1,368
20/04/2022 00.00.00;Yogyakarta;3225,675;1,117
21/04/2022 00.00.00;Yogyakarta;3226,843;1,168
22/04/2022 00.00.00;Yogyakarta;3227,428;0,585
23/04/2022 00.00.00;Yogyakarta;3228,181;0,753
24/04/2022 00.00.00;Yogyakarta;3228,331;0,15
25/04/2022 00.00.00;Yogyakarta;3229,072;0,741
26/04/2022 00.00.00;Yogyakarta;3229,978;0,906
27/04/2022 00.00.00;Yogyakarta;3230,851;0,873
28/04/2022 00.00.00;Yogyakarta;3231,301;0,45
29/04/2022 00.00.00;Yogyakarta;3231,476;0,175
