Batch;Filter Kategori;Prov;Provinsi;tanggal terakhir;Tanggal;Divaksin 3
PETUGAS PUBLIK;PETUGAS PUBLIK;Dki Jakarta;Dki Jakarta;True;02/11/2022 00.00.00;0
PETUGAS PUBLIK;PETUGAS PUBLIK;Dki Jakarta;Dki Jakarta;True;02/11/2022 00.00.00;3
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Barat;Jawa Barat;True;02/11/2022 00.00.00;2
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;2
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;2
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;3
PETUGAS PUBLIK;PETUGAS PUBLIK;Kalimantan Selatan;Kalimantan Selatan;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Bangka Belitung;Kepulauan Bangka Belitung;True;02/11/2022 00.00.00;3
PETUGAS PUBLIK;PETUGAS PUBLIK;Maluku;Maluku;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Sulawesi Selatan;Sulawesi Selatan;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Dki Jakarta;Dki Jakarta;True;02/11/2022 00.00.00;7
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;2
PETUGAS PUBLIK;PETUGAS PUBLIK;Dki Jakarta;Dki Jakarta;True;02/11/2022 00.00.00;12
PETUGAS PUBLIK;PETUGAS PUBLIK;Dki Jakarta;Dki Jakarta;True;02/11/2022 00.00.00;6
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;2
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;3
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;3
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Bangka Belitung;Kepulauan Bangka Belitung;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Papua Barat;Papua Barat;True;02/11/2022 00.00.00;0
PETUGAS PUBLIK;PETUGAS PUBLIK;Sulawesi Utara;Sulawesi Utara;True;02/11/2022 00.00.00;2
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;4
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;3
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;3
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;5
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Kalimantan Timur;Kalimantan Timur;True;02/11/2022 00.00.00;4
PETUGAS PUBLIK;PETUGAS PUBLIK;Lampung;Lampung;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Maluku;Maluku;True;02/11/2022 00.00.00;2
PETUGAS PUBLIK;PETUGAS PUBLIK;Nusa Tenggara Barat;Nusa Tenggara Barat;True;02/11/2022 00.00.00;0
PETUGAS PUBLIK;PETUGAS PUBLIK;Papua Barat;Papua Barat;True;02/11/2022 00.00.00;3
PETUGAS PUBLIK;PETUGAS PUBLIK;Sulawesi Selatan;Sulawesi Selatan;True;02/11/2022 00.00.00;0
PETUGAS PUBLIK;PETUGAS PUBLIK;Sumatera Selatan;Sumatera Selatan;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Sumatera Utara;Sumatera Utara;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Barat;Jawa Barat;True;02/11/2022 00.00.00;2
PETUGAS PUBLIK;PETUGAS PUBLIK;Sulawesi Selatan;Sulawesi Selatan;True;02/11/2022 00.00.00;3
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;12
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;3
PETUGAS PUBLIK;PETUGAS PUBLIK;Kalimantan Tengah;Kalimantan Tengah;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Kalimantan Timur;Kalimantan Timur;True;02/11/2022 00.00.00;3
PETUGAS PUBLIK;PETUGAS PUBLIK;Kalimantan Timur;Kalimantan Timur;True;02/11/2022 00.00.00;14
PETUGAS PUBLIK;PETUGAS PUBLIK;Nusa Tenggara Barat;Nusa Tenggara Barat;True;02/11/2022 00.00.00;2
PETUGAS PUBLIK;PETUGAS PUBLIK;Sumatera Selatan;Sumatera Selatan;True;02/11/2022 00.00.00;2
PETUGAS PUBLIK;PETUGAS PUBLIK;Sumatera Selatan;Sumatera Selatan;True;02/11/2022 00.00.00;4
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;3
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;5
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;2
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;7
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;1
LANSIA;LANSIA;Banten;Banten;True;02/11/2022 00.00.00;1
LANSIA;LANSIA;Jambi;Jambi;True;02/11/2022 00.00.00;1
LANSIA;LANSIA;Jawa Barat;Jawa Barat;True;02/11/2022 00.00.00;11
LANSIA;LANSIA;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;13
LANSIA;LANSIA;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;2
LANSIA;LANSIA;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;9
LANSIA;LANSIA;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;6
LANSIA;LANSIA;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;2
LANSIA;LANSIA;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;30
LANSIA;LANSIA;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;2
LANSIA;LANSIA;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;12
LANSIA;LANSIA;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;3
LANSIA;LANSIA;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;24
LANSIA;LANSIA;Lampung;Lampung;True;02/11/2022 00.00.00;10
LANSIA;LANSIA;Maluku;Maluku;True;02/11/2022 00.00.00;4
LANSIA;LANSIA;Nusa Tenggara Barat;Nusa Tenggara Barat;True;02/11/2022 00.00.00;1
LANSIA;LANSIA;Nusa Tenggara Timur;Nusa Tenggara Timur;True;02/11/2022 00.00.00;1
LANSIA;LANSIA;Riau;Riau;True;02/11/2022 00.00.00;3
LANSIA;LANSIA;Sumatera Barat;Sumatera Barat;True;02/11/2022 00.00.00;7
LANSIA;LANSIA;Sumatera Selatan;Sumatera Selatan;True;02/11/2022 00.00.00;0
LANSIA;LANSIA;Sumatera Utara;Sumatera Utara;True;02/11/2022 00.00.00;1
LANSIA;LANSIA;Riau;Kepulauan Riau;True;02/11/2022 00.00.00;0
PETUGAS PUBLIK;PETUGAS PUBLIK;Banten;Banten;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Dki Jakarta;Dki Jakarta;True;02/11/2022 00.00.00;3
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Barat;Jawa Barat;True;02/11/2022 00.00.00;6
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Barat;Jawa Barat;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;14
PETUGAS PUBLIK;PETUGAS PUBLIK;Kalimantan Selatan;Kalimantan Selatan;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Kalimantan Tengah;Kalimantan Tengah;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Bangka Belitung;Kepulauan Bangka Belitung;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Sulawesi Selatan;Sulawesi Selatan;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Sulawesi Tenggara;Sulawesi Tenggara;True;02/11/2022 00.00.00;0
PETUGAS PUBLIK;PETUGAS PUBLIK;Dki Jakarta;Dki Jakarta;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Barat;Jawa Barat;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Barat;Jawa Barat;True;02/11/2022 00.00.00;2
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;3
PETUGAS PUBLIK;PETUGAS PUBLIK;Kalimantan Selatan;Kalimantan Selatan;True;02/11/2022 00.00.00;0
PETUGAS PUBLIK;PETUGAS PUBLIK;Maluku Utara;Maluku Utara;True;02/11/2022 00.00.00;2
ANAK-ANAK;MENUNGGU KONFIRMASI;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;0
ANAK-ANAK;MENUNGGU KONFIRMASI;Sulawesi Tengah;Sulawesi Tengah;True;02/11/2022 00.00.00;0
GOTONG ROYONG;GOTONG ROYONG;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;0
LANSIA;LANSIA;Bali;Bali;True;02/11/2022 00.00.00;0
LANSIA;LANSIA;Bengkulu;Bengkulu;True;02/11/2022 00.00.00;0
LANSIA;LANSIA;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;14
LANSIA;LANSIA;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;4
LANSIA;LANSIA;Sulawesi Barat;Sulawesi Barat;True;02/11/2022 00.00.00;2
LANSIA;LANSIA;Sumatera Selatan;Sumatera Selatan;True;02/11/2022 00.00.00;3
LANSIA;LANSIA;Dki Jakarta;Dki Jakarta;True;02/11/2022 00.00.00;0
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Barat;Jawa Barat;True;02/11/2022 00.00.00;2
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Barat;Jawa Barat;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;2
PETUGAS PUBLIK;PETUGAS PUBLIK;Sulawesi Selatan;Sulawesi Selatan;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Riau;Kepulauan Riau;True;02/11/2022 00.00.00;0
PETUGAS PUBLIK;PETUGAS PUBLIK;Gorontalo;Gorontalo;True;02/11/2022 00.00.00;1
